valid_time,latitude,longitude,ro,tp,number,expver,distance
2025-11-01 00:00:00,44.499999999999964,8.89999999999999,0.00017815828,0.00018006563,0,1,0.0999999999999659
2025-11-01 01:00:00,44.499999999999964,8.89999999999999,7.698312e-06,1.8972903e-05,0,1,0.0999999999999659
2025-11-01 02:00:00,44.499999999999964,8.89999999999999,1.5351921e-05,3.542751e-05,0,1,0.0999999999999659
2025-11-01 03:00:00,44.499999999999964,8.89999999999999,2.297759e-05,5.048141e-05,0,1,0.0999999999999659
2025-11-01 04:00:00,44.499999999999964,8.89999999999999,3.075227e-05,7.317215e-05,0,1,0.0999999999999659
2025-11-01 05:00:00,44.499999999999964,8.89999999999999,3.901869e-05,0.00012206286,0,1,0.0999999999999659
2025-11-01 06:00:00,44.499999999999964,8.89999999999999,4.7430396e-05,0.00017575175,0,1,0.0999999999999659
2025-11-01 07:00:00,44.499999999999964,8.89999999999999,5.634874e-05,0.00026016682,0,1,0.0999999999999659
2025-11-01 08:00:00,44.499999999999964,8.89999999999999,6.894022e-05,0.0004587099,0,1,0.0999999999999659
2025-11-01 09:00:00,44.499999999999964,8.89999999999999,8.236617e-05,0.0006606728,0,1,0.0999999999999659
2025-11-01 10:00:00,44.499999999999964,8.89999999999999,0.00010228902,0.0010602102,0,1,0.0999999999999659
2025-11-01 11:00:00,44.499999999999964,8.89999999999999,0.00011853129,0.0013353601,0,1,0.0999999999999659
2025-11-01 12:00:00,44.499999999999964,8.89999999999999,0.0001314953,0.0015257299,0,1,0.0999999999999659
2025-11-01 13:00:00,44.499999999999964,8.89999999999999,0.00014734268,0.0018167496,0,1,0.0999999999999659
2025-11-01 14:00:00,44.499999999999964,8.89999999999999,0.00016070902,0.0020180792,0,1,0.0999999999999659
2025-11-01 15:00:00,44.499999999999964,8.89999999999999,0.00017376244,0.0021965802,0,1,0.0999999999999659
2025-11-01 16:00:00,44.499999999999964,8.89999999999999,0.00018276274,0.0022536814,0,1,0.0999999999999659
2025-11-01 17:00:00,44.499999999999964,8.89999999999999,0.00019137561,0.002301842,0,1,0.0999999999999659
2025-11-01 18:00:00,44.499999999999964,8.89999999999999,0.00020876527,0.0025058836,0,1,0.0999999999999659
2025-11-01 19:00:00,44.499999999999964,8.89999999999999,0.00022768974,0.002684757,0,1,0.0999999999999659
2025-11-01 20:00:00,44.499999999999964,8.89999999999999,0.00025629997,0.0030624568,0,1,0.0999999999999659
2025-11-01 21:00:00,44.499999999999964,8.89999999999999,0.00029087067,0.0035597265,0,1,0.0999999999999659
2025-11-01 22:00:00,44.499999999999964,8.89999999999999,0.00032806396,0.00411846,0,1,0.0999999999999659
2025-11-01 23:00:00,44.499999999999964,8.89999999999999,0.00035855174,0.004551637,0,1,0.0999999999999659
2025-11-02 00:00:00,44.499999999999964,8.89999999999999,0.00039574504,0.0050997613,0,1,0.0999999999999659
2025-11-02 01:00:00,44.499999999999964,8.89999999999999,3.489852e-05,0.00050534867,0,1,0.0999999999999659
2025-11-02 02:00:00,44.499999999999964,8.89999999999999,7.694587e-05,0.0011567883,0,1,0.0999999999999659
2025-11-02 03:00:00,44.499999999999964,8.89999999999999,0.00012456998,0.0018745027,0,1,0.0999999999999659
2025-11-02 04:00:00,44.499999999999964,8.89999999999999,0.00019824505,0.0027995892,0,1,0.0999999999999659
2025-11-02 05:00:00,44.499999999999964,8.89999999999999,0.0002501607,0.0035716146,0,1,0.0999999999999659
2025-11-02 06:00:00,44.499999999999964,8.89999999999999,0.00031471997,0.0042218044,0,1,0.0999999999999659
2025-11-02 07:00:00,44.499999999999964,8.89999999999999,0.00034398586,0.0045860335,0,1,0.0999999999999659
2025-11-02 08:00:00,44.499999999999964,8.89999999999999,0.0003745705,0.004987605,0,1,0.0999999999999659
2025-11-02 09:00:00,44.499999999999964,8.89999999999999,0.00039868802,0.0053192703,0,1,0.0999999999999659
2025-11-02 10:00:00,44.499999999999964,8.89999999999999,0.0004361868,0.005846369,0,1,0.0999999999999659
2025-11-02 11:00:00,44.499999999999964,8.89999999999999,0.00064715,0.0069609387,0,1,0.0999999999999659
2025-11-02 12:00:00,44.499999999999964,8.89999999999999,0.00084377825,0.008539337,0,1,0.0999999999999659
2025-11-02 13:00:00,44.499999999999964,8.89999999999999,0.000983715,0.009577247,0,1,0.0999999999999659
2025-11-02 14:00:00,44.499999999999964,8.89999999999999,0.0010613948,0.010545137,0,1,0.0999999999999659
2025-11-02 15:00:00,44.499999999999964,8.89999999999999,0.0015247613,0.011980834,0,1,0.0999999999999659
2025-11-02 16:00:00,44.499999999999964,8.89999999999999,0.0050634295,0.016926516,0,1,0.0999999999999659
2025-11-02 17:00:00,44.499999999999964,8.89999999999999,0.007265657,0.021148,0,1,0.0999999999999659
2025-11-02 18:00:00,44.499999999999964,8.89999999999999,0.0073963404,0.02223568,0,1,0.0999999999999659
2025-11-02 19:00:00,44.499999999999964,8.89999999999999,0.007404566,0.022250045,0,1,0.0999999999999659
2025-11-02 20:00:00,44.499999999999964,8.89999999999999,0.007412344,0.022254068,0,1,0.0999999999999659
2025-11-02 21:00:00,44.499999999999964,8.89999999999999,0.0074198544,0.022254247,0,1,0.0999999999999659
